_id,CODICEIDENTIFICATIVOFARMACIA,CODFARMACIAASSEGNATODAASL,INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,CODICECOMUNEISTAT,DESCRIZIONECOMUNE,FRAZIONE,CODICEPROVINCIAISTAT,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,CODICEREGIONE,DESCRIZIONEREGIONE,DATAINIZIOVALIDITA,DATAFINEVALIDITA,DESCRIZIONETIPOLOGIA,CODICETIPOLOGIA,LATITUDINE,LONGITUDINE,LOCALIZE
1,9082,0,"Via G. Branca, 62",AMOROSO SACCHETTA GIOVANNI,00424570588,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/09/2010,Ordinaria,1,41.92368,12.57115,1
2,9082,0,"Via G. Branca, 62",AMOROSO SACCHETTA GIOVANNI,01241670585,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2010-01-10T00:00:00,-,Ordinaria,1,41.92368,12.57115,1
3,9083,0,"Via Tagliamento, 58/60",BONSIGNORI GIUSEPPE,01405530583,198,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.46143,12.68864,1
4,9084,0,"Via dei Serpenti, 177",ENEI LILIANA,00988150587,184,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2007-01-07T00:00:00,-,Ordinaria,1,41.89616,12.4902,1
5,9084,0,"Via dei Serpenti, 177",ENEI LILIANA,10089290588,184,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/06/2007,Ordinaria,1,41.89616,12.4902,1
6,9085,0,"Isola Tiberina, 39",FATEBENEFRATELLI,00989031000,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2010-01-10T00:00:00,28/02/2013,Ordinaria,1,41.92368,12.57115,1
7,9085,0,"PIAZZA SAN BARTOLOMEO ALL'ISOLA, 39",FATEBENEFRATELLI,00989031000,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2013-01-03T00:00:00,-,Ordinaria,1,41.92368,12.57115,1
8,9085,0,"Isola Tiberina, 39",FATEBENEFRATELLI,-,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,30/09/2010,Ordinaria,1,41.92368,12.57115,1
9,9086,0,"Piazza San Cosimato, 34-35 (Mercato)",EREDI DR. CARLO PELLEGRINI,12579131009,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2013-01-03T00:00:00,31/03/2015,Ordinaria,1,41.88618,12.46935,1
10,9086,0,"Piazza San Cosimato, 34-35 (Mercato)",PELLEGRINI EREDI DR. CARLO PELLEGRINI DI A. E G. PELLEGRINI & C. SNC,12579131009,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2015-01-04T00:00:00,-,Ordinaria,1,41.88618,12.46935,1
11,9086,0,"Via Roma Libera, 34",PELLEGRINI CARLO,00445440589,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,28/02/2013,Ordinaria,1,41.88618,12.46935,1
12,9087,0,"Via Nazionale, 228",PIRAM SERGIO,-,184,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/12/2007,Ordinaria,1,41.89846,12.48979,1
13,9087,0,"Via Nazionale, 228",PIRAM SERGIO,01444360588,184,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2008-01-01T00:00:00,30/04/2008,Ordinaria,1,41.89846,12.48979,1
14,9087,0,"Via Nazionale, 228",PIRAM ALBERTO,09709071006,184,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2008-01-05T00:00:00,-,Ordinaria,1,41.89846,12.48979,1
15,9088,0,"Via S. Gallicano, 23",SAN GALLICANO IFO 319,01033011006,153,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.92368,12.57115,1
16,9089,0,"Via del Corso, 498",SAN GIACOMO SNC DI TOMADINI GIUSEPPINA,10337271000,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2010-01-01T00:00:00,-,Ordinaria,1,41.89907,12.48121,1
17,9089,0,"Via del Corso, 498",TOMADINI GIUSEPPINA,-,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/12/2009,Ordinaria,1,41.89907,12.48121,1
18,9090,0,"Via del Gambero, 13 A",ANTICHE FARMACIE DELLA DR.SSA EMANUELA SBARIGIA & C. SAS,07013881003,187,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2010-01-10T00:00:00,30/06/2011,Ordinaria,1,41.90305,12.48039,1
19,9090,0,"Via del Gambero, 13 A",ANTICA FARMACIA REALE DELLA DR.SSA CLELIA ORLANDI E C. SAS,10218961000,187,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2011-01-07T00:00:00,-,Ordinaria,1,41.90305,12.48039,1
20,9090,0,"Via del Gambero, 13 A",ANTICHE FARMACIE DELLA DR.SSA EMANUELA SBARIGIA & C. SAS,10218961000,187,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2009-01-09T00:00:00,30/09/2010,Ordinaria,1,41.90305,12.48039,1
21,9090,0,"Via del Gambero, 13 A",ANTICA FARMACIA REALE Dr.ssa Sbarigia Emanuela,01024460584,187,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2008-01-01T00:00:00,31/08/2009,Ordinaria,1,41.90305,12.48039,1
22,9090,0,"Via del Gambero, 13 A",ANTICA FARMACIA REALE Dr.ssa Sbarigia Emanuela,07013881003,187,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/12/2007,Ordinaria,1,41.90305,12.48039,1
23,9091,0,"Via Gargano, 50",SEVERI PAOLO,00271430589,141,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,-,Ordinaria,1,41.93548,12.53437,1
24,9092,0,"P.za S. Lorenzo in Lucina, 27",SANTACROCE LIDIA,01036350583,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2005-01-01T00:00:00,31/12/2009,Ordinaria,1,41.92368,12.57115,1
25,9092,0,"Piazza S. Lorenzo in Lucina, 27",Sbarigia Sas,10218961000,186,58091,ROMA,-,58,RM,ROMA,120,LAZIO,2010-01-01T00:00:00,-,Ordinaria,1,41.92368,12.57115,1
