CODICE,ISTITUTO,TIPO,COMUNE,ASL,DATA,STATO_IN_PS,ROSSO_ATT,GIALLO_ATT,VERDE_ATT,BIANCO_ATT,NONESEG_ATT,TOT_ATT,STATO_IN_PS1,ROSSI_TRATT,GIALLI_TRATT,VERDI_TRATT,BIANCHI_TRATT,NONESEG_TRATT,TOT_TRATT,STATO_IN_PS2,ROSSI_OB,GIALLI_OB,VERDI_OB,BIANCHI_OB,TOT_OB,TOT_RT,TUTTI,LATITUDINE,LONGITUDINE,GEOCODE_SOURCE
29200,Ospedale dei Castelli,PS,Ariccia,RM6,31/07/2021 16:34,ATTESA,0,0,7,1,0,8,TRATTAMENTO,0,0,12,0,0,12,OSSERVAZIONE_BREVE,5,1,0,0,6,16,42,41.677133,12.648258,"Ospedale dei Castelli, Ariccia, Lazio, Italia"
04300,Ospedali Riuniti,DEA I,Anzio,RM6,31/07/2021 16:34,ATTESA,0,0,3,0,1,4,TRATTAMENTO,1,4,15,0,0,20,OSSERVAZIONE_BREVE,0,0,3,0,3,14,41,41.460540,12.636757,"Ospedali Riuniti, Anzio, Lazio, Italia"
92000,Pol. Univ. Tor Vergata,DEA I,Roma,RM2,31/07/2021 16:33,ATTESA,0,0,21,2,0,23,TRATTAMENTO,4,13,32,0,0,49,OSSERVAZIONE_BREVE,0,9,9,0,18,27,117,41.857627,12.630981,"Policlinico Tor Vergata, Viale Oxford, Roma, Italia"
91900,Sant'Andrea,DEA I,Roma,RM1,31/07/2021 16:33,ATTESA,0,1,4,0,0,5,TRATTAMENTO,3,15,14,0,0,32,OSSERVAZIONE_BREVE,0,0,1,0,1,20,58,41.903315,12.483393,"Sant'Andrea, Roma, Lazio, Italia"
91500,Campus Biomedico,DEA I,Roma,RM2,31/07/2021 16:33,ATTESA,0,0,12,0,0,12,TRATTAMENTO,0,0,12,1,0,13,OSSERVAZIONE_BREVE,0,0,3,0,3,10,38,41.771441,12.467461,"Campus Biomedico, Roma, Lazio, Italia"
90600,Pol. Univ. Umberto I,DEA II,Roma,RM1,31/07/2021 16:33,ATTESA,0,1,7,8,0,16,TRATTAMENTO,8,16,20,2,0,46,OSSERVAZIONE_BREVE,0,0,0,0,0,53,115,41.906457,12.512125,"Policlinico Umberto I, Viale del Policlinico, Roma, Italia"
90501,Pol. Univ. A. Gemelli,DEA II,Roma,RM1,31/07/2021 16:33,ATTESA,0,1,15,0,0,16,TRATTAMENTO,4,10,29,0,0,43,OSSERVAZIONE_BREVE,1,1,8,0,10,29,98,41.931534,12.429439,"Policlinico Universitario Agostino Gemelli, Largo Agostino Gemelli, Roma, Italia"
90402,Bambino Gesu' Palidoro,PS,Palidoro,RM3,31/07/2021 16:33,ATTESA,0,0,2,0,0,2,TRATTAMENTO,0,1,5,0,0,6,OSSERVAZIONE_BREVE,0,0,0,0,0,1,9,41.919232,12.141720,"Bambino Gesu' Palidoro, Palidoro, Lazio, Italia"
90401,Bambino Gesu',DEA II,Roma,RM1,31/07/2021 16:33,ATTESA,0,0,0,0,0,0,TRATTAMENTO,0,2,7,0,0,9,OSSERVAZIONE_BREVE,0,0,0,0,0,1,10,41.897077,12.460700,"Bambino Gesu', Roma, Lazio, Italia"
90200,San Giovanni Addolorata,DEA II,Roma,RM1,31/07/2021 16:33,ATTESA,0,2,3,0,0,5,TRATTAMENTO,0,8,5,0,0,13,OSSERVAZIONE_BREVE,2,2,0,0,4,6,28,41.885272,12.498619,"San Giovanni Addolorata, Roma, Lazio, Italia"
